LOOKBACK,EXIT_LOOKBACK,MAX_STOCKS,HURST_WINDOW,HURST_TREND,HURST_REVERT,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Trades,Total Closed Trades,Total Open Trades,Open Trade PnL,Win Rate [%],Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Profit Factor,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Sortino Ratio,Return: Inception -> 2020-03-23 [%],Return: 2020-03-23 -> 2021-10-18 [%],Return: 2021-10-18 -> 2023-03-27 [%],Return: 2023-03-27 -> 2024-09-24 [%],Return: 2024-09-24 -> 2025-09-30 [%]
240,20,10,2048,0.5,0.5,2017-01-02 09:15:00,2025-12-31 09:15:00,2231 days,1000000.0,1162367.83,16.236783000000003,463.29777520758944,99.38088733758524,0.0,5.744065396236672,75 days,36,29,7,28934.409999999934,58.620689655172406,22.146118721461185,-15.071085672082718,12.407132881976896,-8.05856161082844,29 days 19:45:52.941176470,30 days,3.186886393155812,4601.152413793104,0.5139994911678442,0.433859125411542,1.314040820033167,0.8478524424209261,0.0,0.0,0.0,0.0,13.169795000000018
240,20,10,1024,0.5,0.5,2017-01-02 09:15:00,2025-12-31 09:15:00,2231 days,1000000.0,2343863.0663612196,134.386306636122,463.29777520758944,99.80396597788382,0.0,11.768177770598324,101 days,232,226,6,-71221.35,56.63716814159292,124.17370683266637,-34.199996,18.335131773755492,-8.951221483995935,51 days 12:00:00,37 days 05:56:17.319587629,2.8165851533112667,6225.901281091937,1.1334137114721063,1.2706749354498459,1.2564181952554074,1.639303081182684,0.0,20.83061260341599,10.974133571276043,63.83705396770901,5.595975416057759
240,20,10,512,0.5,0.5,2017-01-02 09:15:00,2025-12-31 09:15:00,2231 days,1000000.0,7225242.9988519205,622.5242998851921,463.29777520758944,99.71813759451477,0.0,27.39641179840725,141 days,302,295,7,-419210.7199999996,59.32203389830508,443.7680382170716,-33.98994270767094,25.46612125601001,-9.823569135961142,53 days 00:16:27.428571429,44 days 13:42:51.428571428,3.5948680604117524,22450.63037241096,1.7504569961907097,1.394383286797215,1.3500205746014167,2.6273835933871883,25.805803352714985,196.61909043171264,27.930136798819134,77.62083924879352,-13.379146369274356
240,20,10,256,0.5,0.5,2017-01-02 09:15:00,2025-12-31 09:15:00,2231 days,1000000.0,4157796.062780127,315.7796062780127,463.29777520758944,99.93959296056252,0.0,35.27366635784021,574 days,326,320,6,-300254.79000000015,51.87500000000001,320.2264477384579,-56.0655737704918,24.368492078057162,-9.976937875971213,56 days 16:46:15.903614458,46 days 03:17:38.823529412,2.603122777105593,10762.35107692593,1.1998537974259968,0.7443209948708797,1.212707597708958,1.8135181616600526,14.594307160545977,138.42611315651672,0.9802540095020842,48.31235353858903,12.47643678896044
240,20,10,128,0.5,0.5,2017-01-02 09:15:00,2025-12-31 09:15:00,2231 days,1000000.0,1638744.7627603598,63.874476276036,463.29777520758944,99.87942951028866,0.0,33.58430453507265,703 days,359,349,10,-128954.50000000001,52.14899713467048,262.1674876847291,-61.70212998771245,18.84908855257191,-10.34716529840574,57 days 07:46:48.791208791,42 days 06:47:42.650602409,1.41384940645961,2167.6918010912777,0.5035105529169859,0.25060424374378504,1.0836132159162417,0.7185186021523764,-20.959171888002043,59.69345936887651,-0.18583881118117776,70.27622233067775,-11.300725363779913
240,20,10,64,0.5,0.5,2017-01-02 09:15:00,2025-12-31 09:15:00,2231 days,1000000.0,2267070.79693901,126.70707969390101,463.29777520758944,99.98479143120382,0.0,38.044428043214644,495 days,282,276,6,-257150.24,56.52173913043478,594.2567567567568,-56.611394557823125,22.358899333877986,-10.281290391208222,49 days 13:13:50.769230769,46 days 12:12:00,2.0118162639045143,5522.539988909457,0.6933207516147867,0.37663182282498336,1.1167096886817607,1.0488953145141746,-20.222664617951004,81.24306717062333,-2.934526423889973,66.0636270575465,11.148162167686916
240,20,10,16,0.5,0.5,2017-01-02 09:15:00,2025-12-31 09:15:00,2231 days,1000000.0,1000000.0,0.0,463.29777520758944,0.0,0.0,,,0,0,0,0.0,,,,,,,,,,inf,,inf,inf,0.0,0.0,0.0,0.0,0.0
240,20,12,2048,0.5,0.5,2017-01-02 09:15:00,2025-12-31 09:15:00,2231 days,1000000.0,1185346.96,18.534696000000004,463.29777520758944,99.28678553636512,0.0,4.722410765977055,62 days,40,33,7,46766.74999999991,63.63636363636363,22.146118721461185,-15.071085672082715,11.886958632455302,-8.058561610828443,30 days 01:08:34.285714285,30 days,3.720398145703426,4199.400303030303,0.6328716652536828,0.5973431724023641,1.4102956717931718,1.0858598554251837,0.0,0.0,0.0,0.0,14.501172000000043
240,20,12,1024,0.5,0.5,2017-01-02 09:15:00,2025-12-31 09:15:00,2231 days,1000000.0,2213069.1415490406,121.30691415490406,463.29777520758944,99.87402148074432,0.0,12.310911826475701,157 days,267,261,6,-65461.24999999995,56.32183908045977,124.1737068326664,-34.199996,17.632880381446604,-9.497815045350974,53 days 07:30:36.734693878,37 days 07:17:08.571428571,2.6920693415969903,4846.886991907364,1.1288337286916508,1.1273489937433814,1.2475127544168203,1.6189261632989236,0.0,18.944683210874956,4.460806429382001,69.10714749831524,4.680264813715873
240,20,12,512,0.5,0.5,2017-01-02 09:15:00,2025-12-31 09:15:00,2231 days,1000000.0,6592534.1519366605,559.253415193666,463.29777520758944,99.74276510148353,0.0,34.08182601301846,218 days,365,356,9,-361407.9699999998,59.55056179775281,443.76803821707165,-52.4264705882353,24.027224146041483,-9.888063799782316,51 days 10:18:06.792452830,44 days 20:28:31.888111888,3.1848355036478617,16671.026203640675,1.6566624843779651,1.0605207988788214,1.32401558494778,2.4951277680806196,24.68983372415402,193.55118639226336,17.804712583242207,82.68607285423954,-15.127097814698764
